ACL00 (Labels),Total,Personal care except eating,Eating,Work and study,Household and family care and related travel,Leisure. social and associative life except TV and video,Television and video,Travel to/from work/study,Unspecified time use and travel
From 19:00 to 19:09,100,5.4,17.8,10.3,20.9,22.5,21.0,1.8,0.2
From 19:10 to 19:19,100,5.4,18.5,10.1,19.3,22.6,22.4,1.5,0.2
From 19:20 to 19:29,100,5.3,17.7,10.0,17.8,22.6,25.4,1.2,0.2
From 19:30 to 19:39,100,5.7,14.9,9.4,16.3,21.6,30.7,1.0,0.3
From 19:40 to 19:49,100,6.1,13.9,9.2,15.6,21.4,32.5,0.9,0.3
From 19:50 to 19:59,100,7.2,12.9,8.8,15.0,20.9,33.9,0.9,0.4
From 20:00 to 20:09,100,10.1,10.7,7.2,14.7,18.8,36.9,1.1,0.5
From 20:10 to 20:19,100,10.0,11.0,7.2,12.8,19.2,38.4,0.9,0.5
From 20:20 to 20:29,100,9.6,9.8,7.0,11.2,19.8,41.2,0.8,0.5
From 20:30 to 20:39,100,9.8,7.9,6.8,9.8,20.2,44.3,0.6,0.5
From 20:40 to 20:49,100,10.2,6.7,6.7,8.9,20.2,46.2,0.6,0.6
From 20:50 to 20:59,100,11.6,5.7,6.6,8.3,20.0,46.5,0.6,0.7
From 21:00 to 21:09,100,17.1,4.9,6.0,7.5,18.6,44.3,0.9,0.7
From 21:10 to 21:19,100,17.9,4.6,5.8,6.6,18.5,44.8,0.9,0.9
From 21:20 to 21:29,100,19.4,4.1,5.8,5.5,18.6,44.9,0.9,0.9
From 21:30 to 21:39,100,22.6,3.4,5.7,5.0,18.2,43.2,0.9,1.1
From 21:40 to 21:49,100,25.7,3.1,5.7,4.4,17.6,41.4,0.7,1.4
From 21:50 to 21:59,100,30.8,2.7,5.7,4.1,16.5,38.2,0.6,1.4
From 22:00 to 22:09,100,50.2,2.2,4.5,3.9,12.8,24.1,1.3,1.1
From 22:10 to 22:19,100,51.9,2.0,4.2,3.1,12.8,23.6,1.4,1.1
From 22:20 to 22:29,100,54.4,1.7,4.0,2.6,12.7,22.2,1.2,1.1
